FEEDER #1 P80;;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
21-12-2018 05:30;1.777357;1.910293;2.474225;1799.387;1.972285;15.47184;;1567.022;2175.72;94.771;13061;7358.65;6597.918;10.487;104;78.75141;105.5644;75.08753;32.15588;;34.86245;340.5576;293.6094;13.96001;0.8014038
21-12-2018 05:40;1.859053;1.957686;2.433771;1799.071;2.014885;15.59696;;1564.385;2171.28;94.765;13065;7354.736;6587.271;10.483;104;78.76643;105.2055;74.4275;32.15588;;34.58802;323.3857;290.6904;13.96001;0.8014038
21-12-2018 05:50;1.805207;1.956003;2.4405;1805.901;1.995405;15.67068;;1564.746;2178.334;94.888;13065;7351.959;6573.763;10.487;104;78.7439;105.286;74.97179;32.15588;;34.5517;337.9702;293.9982;13.96001;0.8073548
21-12-2018 06:00;1.921116;2.012921;2.489237;1798.947;2.07234;15.84801;;1562.328;2176.544;95.079;13088;7351.496;6603.137;10.482;104;78.72138;105.3056;74.28235;32.15588;;34.46761;334.6761;294.4713;13.96001;0.8073548
21-12-2018 06:10;1.704117;2.024352;2.377529;1797.111;1.986551;16.05794;;1564.776;2173.486;95.147;13084;7360.838;6597.624;10.481;104;78.72889;105.5781;75.06024;32.2398;;34.65175;339.4626;300.1227;13.96001;0.8053712
21-12-2018 06:20;1.905751;1.981005;2.387385;1805.264;2.031955;16.20602;;1567.303;2178.86;95.085;13105;7367.404;6578.645;10.481;104;78.69135;105.3983;74.24214;32.24228;;34.84607;343.2621;296.8537;13.96001;0.8033875
21-12-2018 06:30;1.75695;2.016606;2.362824;1806.574;2.000955;16.19092;;1571.325;2192.68;95.127;13118;7365.089;6589.712;10.487;104;78.75892;105.1557;73.64019;32.22377;;34.81416;347.8709;298.7679;13.96001;0.8053712
21-12-2018 06:40;1.979154;2.056047;2.370637;1818.119;2.089852;16.04341;;1536.388;2203.058;95.358;13147;7372.496;6567.24;10.482;104;78.72138;105.5204;70.65619;32.22377;;35.05824;361.5638;306.2156;13.96001;0.8073548
21-12-2018 06:50;2.100646;2.017575;2.344826;1847.526;2.105572;15.75002;;1549.169;2248.391;95.543;13162;7375.694;6589.796;10.493;104;78.70636;105.2509;68.32986;32.22377;;35.71385;402.7722;325.7677;13.96001;0.8014038
21-12-2018 07:00;2.186065;2.10018;2.348282;1856.732;2.176251;15.36403;;1557.745;2260.659;95.829;13193;7383.69;6602.674;10.481;104;78.75892;104.8258;65.72749;32.23788;;35.53087;404.0632;325.9938;13.96001;0.8073548
21-12-2018 07:10;2.082439;2.022655;2.364323;1867.269;2.105558;15.20085;;1573.431;2293.394;95.695;13200;7405.657;6615.215;10.481;104;78.68384;104.5798;64.78558;32.21356;;36.26585;442.1167;347.3253;13.96001;0.8093385
21-12-2018 07:20;1.984431;2.027491;2.405834;1869.013;2.080913;14.94299;;1584.594;2292.973;95.817;13210;7384.068;6594.173;10.483;104;78.72138;104.3369;64.3604;32.21734;;35.96875;450.3694;340.8654;13.96001;0.8073548
21-12-2018 07:30;2.001968;2.037974;2.428806;1873.692;2.095057;15.24578;;1578.656;2299.483;95.73;13194;7389.666;6609.912;10.49;104;78.7364;104.9235;63.60337;32.22722;;35.9234;425.2744;336.9397;13.96001;0.8113222
21-12-2018 07:40;2.078489;2.048431;2.436858;1866.221;2.129959;15.28057;;1581.384;2294.53;95.627;13179;7383.9;6612.774;10.488;104;78.71387;104.4514;63.93331;32.19623;;36.2523;440.4358;344.6959;13.96001;0.8053712
21-12-2018 07:50;1.654242;2.030411;2.472907;1875.358;1.992198;15.53948;;1568.121;2296.828;95.582;13163;7373.169;6614.499;10.482;104;78.72138;104.9043;65.85716;32.06708;;35.9909;435.8892;334.6446;13.96001;0.8093385
21-12-2018 08:00;1.94252;2.021612;2.501812;1876.054;2.08824;16.05031;;1522.625;2299.693;95.927;13216;7383.647;6595.352;10.483;104;78.7364;104.9723;64.01866;32.02071;;36.04895;421.8705;338.85;13.96001;0.8014038
21-12-2018 08:10;1.931308;2.116294;2.485578;1815.866;2.123487;16.12091;;1503.551;2246.249;96.099;13235;7395.641;6634.615;10.486;104;78.76643;105.0642;64.2625;32.06411;;36.11173;445.8558;344.1246;13.96001;0.8113222
21-12-2018 08:20;2.024218;2.137566;2.461395;1753.06;2.159473;17.4987;;1447.837;2174.113;96.152;13242;7383.942;6614.247;10.486;104;78.72889;105.3266;65.35418;32.05684;;35.37613;372.8908;313.3509;13.96001;0.8053712
21-12-2018 08:30;2.083344;2.312453;2.478;1585.763;2.255683;18.61;;1361.031;1927.333;96.071;13235;7372.958;6568.376;10.489;104;78.70636;105.6907;70.28543;32.14446;;34.56829;284.6143;284.1661;13.85921;52.85893
21-12-2018 08:40;2.058848;2.17768;2.519998;1541.401;2.188612;18.45415;;1254.658;1843.465;95.45;13161;7333.737;6525.747;10.493;104;78.72138;106.5306;78.57349;32.16023;;33.63468;250.8528;246.0816;12.95201;19.78714
21-12-2018 08:50;2.061595;2.140894;2.495977;1563.832;2.168314;18.63089;;1251.215;1904.981;95.387;13145;7338.324;6571.364;10.48;104;78.75141;106.2257;76.65631;32.16023;;34.18174;269.94;258.2147;12.95201;0.8053712
21-12-2018 09:00;2.025515;2.065871;2.366717;1644.5;2.106952;19.93105;;1309.487;1981.094;95.398;13137;7346.909;6554.826;10.494;104;78.7364;106.0377;75.30847;32.16023;;34.49134;239.9194;270.7208;12.44801;0.8033875
21-12-2018 09:10;2.141918;2.115091;2.390358;1709.558;2.177391;18.38391;;1446.098;2065.846;95.582;13176;7346.362;6542.832;10.48;104;78.72138;105.4304;72.59191;32.16023;;34.47968;343.5569;277.7519;12.11201;0.8014038
21-12-2018 09:20;2.111297;2.08663;2.430241;1783.269;2.165147;18.61202;;1574.133;2149.146;95.464;13141;7357.641;6565.894;10.485;104;78.69135;105.0217;69.50742;32.15374;;34.83883;377.1664;296.6166;12.11201;0.7954528
21-12-2018 09:30;2.086201;2.040612;2.397226;1831.536;2.124762;18.51582;;1681.398;2201.318;95.336;13118;7365.973;6596.993;10.483;104;78.7439;104.9564;70.12463;32.14726;;34.78172;403.8508;300.7248;12.11201;0.7994201
21-12-2018 09:40;1.812632;2.033719;2.41522;1858.485;2.011631;18.75728;;1800.76;2254.562;95.163;13148;7363.742;6603.852;10.481;104;78.7439;104.3345;68.0938;32.19402;;34.88659;420.6454;312.9045;12.11201;0.7954528
21-12-2018 09:50;2.054315;2.023395;2.462042;1884.852;2.121625;18.0763;;1814.218;2288.597;95.272;13115;7373.085;6595.688;10.482;104;78.6463;104.1904;66.64365;32.22519;;35.12795;446.006;322.1306;12.11201;0.8014038
21-12-2018 10:00;1.875366;1.990975;2.456563;1877.157;2.027097;18.25712;;1850.687;2283.323;95.134;13102;7391.812;6652.752;10.49;104;78.69885;103.9896;64.41392;32.23661;;34.91662;446.2147;312.3184;12.11201;0.7954528
21-12-2018 10:10;1.964221;2.055512;2.481636;1864.06;2.094202;18.49503;;1845.512;2261.854;95.739;13194;7408.435;6641.138;10.476;104;78.72137;103.6396;60.8442;32.3394;;34.82087;446.1762;320.8749;12.11201;0.78851
21-12-2018 10:20;2.036389;2.059243;2.499431;1803.177;2.130672;18.33744;;1818.46;2215.303;95.666;13183;7409.949;6653.258;10.485;104;78.71387;103.8413;59.78104;32.3394;;34.91525;443.1403;329.6537;12.11201;0.7954528
21-12-2018 10:30;1.729802;2.17644;2.550526;1815.734;2.054753;18.61248;;1789.188;2214.639;95.781;13202;7392.401;6613.321;10.48;104;78.72138;104.8685;64.75688;32.3394;;34.78949;436.8194;313.8071;12.11201;0.7994201
21-12-2018 10:40;1.771797;2.280874;2.552269;1852.451;2.109399;18.59447;;1808.963;2254.461;96.332;13272;7404.353;6605.157;10.491;104;78.65381;103.9893;61.37026;32.3394;;34.82812;438.9178;322.6553;12.11201;0.7904936
